site_code,site_name,collection_year,elevation,latitude,longitude,Aridity,Light,plot,block,treatment_name,N,P,Kµ,Rootsgperm2,rootmassfraction
bldr.us,Boulder South Campus,2011,1633,39.972022,-105.233544,0.366,0.730525563,4,1,NK,1,0,1,160.2461059,0.514027611
bldr.us,Boulder South Campus,2011,1633,39.972022,-105.233544,0.366,0.730525563,18,2,NK,1,0,1,101.6887675,0.464993098
bldr.us,Boulder South Campus,2011,1633,39.972022,-105.233544,0.366,0.730525563,16,2,PK,0,1,1,30.27664872,0.116999153
bldr.us,Boulder South Campus,2011,1633,39.972022,-105.233544,0.366,0.730525563,7,1,NPK,1,1,1,77.71803586,0.345079094
bldr.us,Boulder South Campus,2011,1633,39.972022,-105.233544,0.366,0.730525563,6,1,K,0,0,1,135.1058271,0.696042098
bldr.us,Boulder South Campus,2011,1633,39.972022,-105.233544,0.366,0.730525563,8,1,NP,1,1,0,143.5941742,0.28857688
bldr.us,Boulder South Campus,2011,1633,39.972022,-105.233544,0.366,0.730525563,20,2,NP,1,1,0,106.2564717,0.251937976
bldr.us,Boulder South Campus,2011,1633,39.972022,-105.233544,0.366,0.730525563,3,1,N,1,0,0,68.81195614,0.355044949
bldr.us,Boulder South Campus,2011,1633,39.972022,-105.233544,0.366,0.730525563,17,2,NPK,1,1,1,87.84211385,0.394189915
bldr.us,Boulder South Campus,2011,1633,39.972022,-105.233544,0.366,0.730525563,11,2,N,1,0,0,393.2899261,0.70953829
bldr.us,Boulder South Campus,2011,1633,39.972022,-105.233544,0.366,0.730525563,5,1,PK,0,1,1,325.4400138,0.847632448
bldr.us,Boulder South Campus,2011,1633,39.972022,-105.233544,0.366,0.730525563,1,1,P,0,1,0,192.6562994,0.768607451
bldr.us,Boulder South Campus,2011,1633,39.972022,-105.233544,0.366,0.730525563,13,2,K,0,0,1,194.329691,0.538563471
bldr.us,Boulder South Campus,2011,1633,39.972022,-105.233544,0.366,0.730525563,10,1,Control,0,0,0,28.74761462,0.171886545
bldr.us,Boulder South Campus,2011,1633,39.972022,-105.233544,0.366,0.730525563,12,2,Control,0,0,0,146.1258574,0.737540568
bldr.us,Boulder South Campus,2011,1633,39.972022,-105.233544,0.366,0.730525563,14,2,P,0,1,0,121.2523625,0.41067364
