Year,GCB,CABLE-POP,CLASSIC,CLM5.0,DLEM,IBIS,ISAM,ISBA-CTRIP,JSBACH,JULES-ES,LPJ-GUESS ,LPJ ,LPX-Bern,OCNv2,ORCHIDEE-v3,SDGVM,VISIT,YIBs,mean_models,sd_models
1959,0.395882353,-0.47,-0.44,1.1,0.82,0.41,1.35,0.98,0.38,0.26,-0.92,-0.47,0.23,1.03,0.72,0.1,1.36,0.29,0.395882353,0.68
1960,1.156470588,1.75,1.43,1.51,0.64,1.39,1.4,0.89,2.11,1.04,0.98,0.31,0.83,1.14,1.14,0.47,1.68,0.95,1.156470588,0.47
1961,0.611176471,1.04,0.84,0.52,0.4,0.74,0.95,0.57,1.78,0.24,0.65,-0.48,-0.08,1.36,0.77,-0.66,1.17,0.58,0.611176471,0.62
1962,1.155294118,1.61,1.05,1.26,0.51,0.82,1.44,1,2.46,1.84,1.39,0.14,-0.1,1.76,1.48,-0.3,2.02,1.26,1.155294118,0.75
1963,1.060588235,1.63,1.71,0.95,0.86,1.04,1.22,0.45,1.86,1.83,0.22,-0.38,0.18,1.72,1,0.93,2.05,0.76,1.060588235,0.69
1964,1.551176471,2.39,1.57,2.18,1,1.58,1.79,1.33,2.14,2.42,2.32,0.85,1.11,1.81,1.23,0.3,1.31,1.04,1.551176471,0.61
1965,0.286470588,1.4,-0.51,1.1,0.79,-0.29,1.48,-0.18,0.7,1.37,-0.22,-0.6,-1.11,0.72,0.83,-1.8,0.99,0.2,0.286470588,0.95
1966,1.347058824,1.45,2.63,1.58,0.96,1.51,1.5,1.18,2.5,0.9,1.42,0.25,0.94,1.48,1.21,1.93,1.09,0.37,1.347058824,0.62
1967,1.634117647,1.53,1.38,1.87,1.33,1.73,1.44,0.9,2.24,2.84,1.73,1.11,1.19,2.68,1.17,1.78,1.43,1.43,1.634117647,0.53
1968,2.404117647,2.17,5.37,2.2,1.73,2.6,2.24,1.04,2.04,2.86,3.64,2.49,2.11,2.75,1.54,2.32,2.51,1.26,2.404117647,0.98
1969,0.581176471,0.67,-0.05,1.27,-0.22,0.66,0.58,0.32,1.67,0.7,0.65,0.32,0.41,0.68,0.84,0.55,0.51,0.32,0.581176471,0.44
1970,0.511764706,1.12,-0.22,1.37,0.9,0.46,0.85,0.66,1.57,0.79,0.05,-0.9,0.08,0.72,0.78,-0.93,0.68,0.72,0.511764706,0.70
1971,2.421764706,2.3,2.95,2.11,2.32,2.64,2.36,1.89,2.04,4.27,3.38,2.17,2.03,3.03,1.88,1.71,2.6,1.49,2.421764706,0.68
1972,1.134705882,0.33,2.01,1.01,1.09,1.43,0.92,0.11,-0.59,2.11,2.39,1.5,1.42,1.72,0.73,0.87,1.74,0.5,1.134705882,0.78
1973,1.616470588,1.38,2.79,2.2,1.75,1.26,1.24,1.39,1.86,0.98,3.4,0.79,0.48,2.28,1.41,1.97,0.52,1.78,1.616470588,0.77
1974,3.770588235,3.5,5.2,2.95,2.99,4.98,3.52,2.72,4.61,4.79,4.9,3.73,3.53,4.3,2.96,3.36,4.02,2.04,3.770588235,0.91
1975,2.448235294,1.7,3.35,2.49,1.58,2.92,2.67,1.75,2.26,3.38,3.38,2.12,2.19,3.29,1.59,1.9,3.13,1.92,2.448235294,0.68
1976,2.934117647,2.31,3.39,3.45,2.19,2.96,2.81,2.03,1.84,4.96,3.45,4.46,2.35,3.84,1.71,2.59,3.99,1.55,2.934117647,1.00
1977,1.608235294,1.77,3.66,2.15,0.6,1.98,1.42,0.65,1.25,2.24,0.5,1.75,1.73,2.53,0.8,0.91,2.12,1.28,1.608235294,0.82
1978,2.654705882,3.38,3.83,2.44,1.37,2.83,2.77,1.89,3.53,3.04,3.32,2.61,1.88,2.81,2.29,3.08,2.58,1.48,2.654705882,0.70
1979,1.364117647,1.89,0.63,2.21,1.07,1.28,1.66,0.87,2.94,1.65,0.56,1.23,0.84,1.97,1.1,0.57,1.81,0.91,1.364117647,0.66
1980,0.454117647,1.81,-0.33,1.54,0.34,-0.41,1.55,0.56,1.76,1.14,-0.92,-0.79,-1.1,1.16,0.81,-1.19,0.83,0.96,0.454117647,1.04
1981,2.241176471,1.81,3.21,2.47,2.65,2.06,2.45,1.89,3.24,2.7,1.62,1.07,0.94,3.54,2.23,2.11,2.17,1.94,2.241176471,0.71
1982,1.54,1.34,1.37,2.1,1.06,1.28,2.17,1.09,0.95,3.37,1.91,1.9,0.88,2.09,1.72,-0.28,1.76,1.47,1.54,0.77
1983,0.291176471,0.6,-0.64,1.41,0.4,-0.91,1,0.23,1.91,0.66,-0.66,-0.68,-1.44,1.34,0.56,-0.36,0.1,1.43,0.291176471,0.96
1984,2.67,2.45,3.83,2.71,2.28,3.14,2.74,2.49,2.94,2.38,3.4,2.41,2.17,3.2,3.08,0.95,3.34,1.88,2.67,0.68
1985,2.547647059,2.94,2.85,2.56,2.18,2.6,2.72,1.84,4.09,2.69,3.05,2.34,1.56,3.31,2.48,1.98,2.34,1.78,2.547647059,0.62
1986,2.161176471,1.85,2.55,3.19,1.7,1.11,2.63,1.61,2.73,3.5,2.53,2.13,0.09,3.15,1.7,1.99,2.4,1.88,2.161176471,0.83
1987,0.381176471,0.83,-0.95,1.47,0.67,-0.26,1.09,-0.04,1,0.04,-0.64,0.3,-0.71,1.53,0.8,-0.53,0.81,1.07,0.381176471,0.79
1988,2.071764706,2.16,2.63,2.35,2.58,1.72,2.49,2.13,3.95,2.35,0.86,0.23,0.91,3.07,2.16,2.61,1.25,1.77,2.071764706,0.90
1989,3.412352941,2.88,5.32,3.14,3.48,3.83,3.29,3.01,3.17,3.76,3.89,3.26,2.99,4.12,2.72,2.96,3.67,2.52,3.412352941,0.66
1990,2.225882353,1.72,4.24,3.34,1.18,2.61,1.99,1.38,2.29,1.8,2.65,2.44,2.08,2.77,1.43,1.63,2.18,2.11,2.225882353,0.76
1991,2.023529412,2.23,1.33,3.33,1.4,1.57,2.72,1.5,3.22,3.45,0.61,1.62,0.54,3.12,2.23,1.38,2.09,2.06,2.023529412,0.90
1992,2.123529412,1.95,1.46,2.99,2.59,1.33,2.86,1.68,1.48,3.35,3.31,3.25,0.66,2.86,1.6,1.54,1.1,2.09,2.123529412,0.86
1993,2.816470588,2.74,3.15,3.53,2.17,2.84,2.81,2.09,2.51,2.85,4,3.74,2.01,3.9,2.64,1.96,2.43,2.51,2.816470588,0.65
1994,1.484705882,1.23,0.35,2.21,1.57,1.26,2.65,1.76,1.6,2.15,-0.41,0.95,0.32,2.53,1.48,1,2.12,2.47,1.484705882,0.86
1995,1.59,1.62,0.57,2.59,1.46,1.14,2.34,1.32,1.86,1.2,1.18,1.07,0.37,2.56,1.79,2.08,1.46,2.42,1.59,0.66
1996,3.061764706,3.18,4.2,2.79,1.91,3.98,2.91,2.4,2.57,2.18,4.94,3.02,3.04,3.27,3.27,2.95,3.3,2.14,3.061764706,0.77
1997,3.058235294,2.3,5.33,3.01,2.35,3.69,2.71,1.91,3.67,2.4,3.4,3.83,3.08,3.64,1.66,4.41,3.01,1.59,3.058235294,1.00
1998,1.57,1.3,3.09,2.46,0.74,1.84,1.51,1.76,3.78,-0.74,0.5,0.56,1.19,1.88,1.26,2.2,1.8,1.56,1.57,1.04
1999,3.381176471,2.81,4.05,3.76,2.72,3.94,3.77,3.12,4.69,3,2.85,3.43,2.68,4.07,2.95,2.75,4.16,2.73,3.381176471,0.64
2000,3.516470588,3.74,5.47,3.33,2.68,4.5,3.9,2.7,4.38,3.14,2.95,3.83,3.24,4.33,2.72,2.18,4.22,2.47,3.516470588,0.88
2001,2.402941176,2.3,3.69,3.06,1.78,2.22,2.76,2.22,2.6,2.47,1.59,2.18,1.08,3.31,1.63,2.32,3.28,2.36,2.402941176,0.68
2002,1.020588235,1.4,1.15,2.42,0.98,0.59,1.87,1.31,1.18,1.05,-0.36,0.61,-0.41,1.91,1.1,-0.1,1.06,1.59,1.020588235,0.78
2003,2.164117647,2.25,1.44,2.9,2.43,1.46,2.47,2.53,3.59,1.59,1.58,1.59,0.58,3.24,1.96,2.97,2.24,1.97,2.164117647,0.76
2004,3.257647059,3.32,4.07,3.35,2.48,3.46,3.37,2.33,3.89,2.97,4.53,3.74,2.41,4.25,2.41,2.82,4.01,1.97,3.257647059,0.76
2005,1.875882353,2.22,1.72,3.05,2.02,1.28,2.11,1.81,2.25,2.06,1.15,1.84,0.41,2.76,1.85,1.58,1.83,1.95,1.875882353,0.60
2006,2.939411765,2.62,2.95,3.13,2.56,3.18,2.94,3.02,3,3.33,2.61,2.77,2.31,3.86,2.41,4,3.16,2.12,2.939411765,0.50
2007,2.63,2.8,3.11,3.41,2.4,2.27,3.07,2.09,3.77,2.96,2.22,2.07,0.9,3.59,2.18,1.69,3.59,2.59,2.63,0.76
2008,3.358235294,3.37,4.02,2.95,2.64,3.59,3.92,2.73,4.33,3.7,4.23,3.31,2.34,4.48,2.83,1.93,4.01,2.71,3.358235294,0.76
2009,2.671764706,3.31,1.94,2.96,2.36,2.53,2.66,2.15,3.75,2.67,2.44,3.6,1.9,3.71,1.76,2.18,3.27,2.23,2.671764706,0.65
2010,3.107058824,3.33,3.87,4.01,2.13,3.16,2.59,2.59,5.01,1.3,3.71,3.11,1.99,3.73,2.56,4.15,3.61,1.97,3.107058824,0.96
2011,3.941176471,3.85,4.57,4.47,3.13,4.21,4.08,3.36,4.72,4.21,4.37,4.59,2.75,5,3.11,2.64,5.22,2.72,3.941176471,0.83
2012,2.391176471,2.23,1.31,3.41,2.2,2.28,3.23,2.67,2.68,2.79,0.88,2.19,1.22,3.55,1.81,2.01,3.53,2.66,2.391176471,0.80
