id,co2,inoc,n.trt,rep,sow_date,rack,germ_date,thin_date,harvest_date,focal.area,tla,focal.biomass,leaf.biomass,chlor.biomass,stem.biomass,root.biomass,nodule.biomass,total.biomass,nod.root.ratio,nmass.focal,nmass.nod,nmass.tl,nmass.tr,nmass.ts,cmass.focal,cmass.nod,cmass.tl,cmass.tr,cmass.ts,chlA.ugml,chlB.ugml,chlA.gml,chlB.gml,chlA.g,chlB.g,chlA.gm2,chlB.gm2,chlA.mmolm2,chlB.mmolm2,chl.mmolm2,chlA.chlB,disk.area,chl.leaf.area,tleaf,anet,anet.growth,gsw,gsw.growth,ci.ca,vcmax25,jmax25,jmax25.vcmax25,rd25,tpu,leaf.d13c,leaf.d15n,ndfa,chi,beta,marea,narea,p.rubisco,p.bioe,p.lightharv,p.photo,p.structure,pnue,pnue.growth,iwue,iwue.growth,stomlim,leaf.totaln,stem.totaln,root.totaln,root.totalc,nod.totaln,nod.totalc,wpn,cbg,ncost,bvr
e_y_0_1,elv,inoc,0,1,6/17/22,6b,6/23/22,7/2/22,8/6/22,24.603,276.728,0.183,1.763,0.134,0.582,1.308,0.319,4.106,0.243883792,0.021,0.0637,0.02,0.0139,0.0198,0.4204,0.4604,0.4132,0.4139,0.4058,2.6491,0.4311,2.65E-06,4.31E-07,2.65E-05,4.31E-06,0.0882,0.0143,0.0987,0.0158,0.1145,6.1451,3.005,22.09,25.02,20.689,28.815,0.358,0.236,0.725,97.98,173.197,1.768,3.436,10.737,-24.99,-0.74,100,0.6696,152.5551,74.3812,1.5583,0.4907,0.0884,0.0328,0.6119,0.091,13.27677143,18.49147857,57.7905,122.0975,0.2548,0.042,0.0115,0.0181,0.5413,0.0203,0.1469,0.0919,0.6882,7.4848,0.684
e_y_0_2,elv,inoc,0,2,6/17/22,5t,6/21/22,7/2/22,8/6/22,24.008,331.333,0.156,2.017,0.172,0.63,1.139,0.371,4.329,0.32572432,0.0226,0.0571,0.0229,0.0145,0.0166,0.4197,0.4048,0.4503,0.4194,0.4134,3.2759,0.8047,3.28E-06,8.05E-07,3.28E-05,8.05E-06,0.1068,0.0262,0.1195,0.0289,0.1484,4.071,3.068,22.727,25.011,20.708,31.23,0.334,0.294,0.709,96.124,180.354,1.876,2.531,11.367,-25.56,-1.24,56.73,0.696,195.51,64.9783,1.4653,0.512,0.0979,0.0316,0.6415,0.0802,14.13262857,21.3136,62,106.2245,0.2624,0.0536,0.0105,0.0165,0.4777,0.0212,0.1502,0.1018,0.6278,6.1693,0.722
e_y_0_3,elv,inoc,0,3,6/17/22,4t,6/22/22,7/2/22,8/6/22,24.75,378.484,0.147,2.098,0.152,0.724,1.391,0.401,4.766,0.288281812,0.0346,0.0605,0.0311,0.0138,0.0193,0.4326,0.4248,0.4522,0.4239,0.4083,2.3859,1.6836,2.39E-06,1.68E-06,2.39E-05,1.68E-05,0.0782,0.0551,0.0875,0.0608,0.1482,1.4172,3.053,22.221,25.01,21.054,33.211,0.258,0.171,0.626,100.959,182.416,1.807,1.105,11.732,-24.42,-1.14,73.06,0.6432,120.1858,59.3939,2.0562,0.3832,0.0706,0.0228,0.4765,0.0504,10.23918571,16.15149286,81.6047,194.2164,0.3217,0.0755,0.014,0.0191,0.5897,0.0243,0.1704,0.1329,0.7601,5.7185,0.794
e_y_0_4,elv,inoc,0,4,6/17/22,6t,6/22/22,7/2/22,8/6/22,19.514,282.992,0.113,1.707,0.096,0.783,1.201,0.332,4.119,0.276436303,0.0285,0.0597,0.0242,0.0166,0.0173,0.4221,0.4238,0.4195,0.4154,0.4122,2.8509,0.561,2.85E-06,5.61E-07,2.85E-05,5.61E-06,0.0931,0.0183,0.1042,0.0202,0.1244,5.0816,3.063,19.365,25.023,19.768,28.016,0.411,0.36,0.766,89.374,165.96,1.857,3.421,10.486,-26.09,-0.78,100,0.7205,248.9372,57.9071,1.6504,0.4227,0.08,0.032,0.5347,0.0607,11.97803571,16.97575714,48.0973,77.8222,0.2104,0.0473,0.0135,0.02,0.4989,0.0198,0.1407,0.1006,0.6396,6.357,0.687
e_y_35_5,elv,inoc,35,5,6/17/22,2b,6/22/22,7/2/22,8/6/22,22.018,257.839,0.112,1.456,0.076,0.524,0.936,0.298,3.29,0.318376068,0.0369,0.0626,0.0272,0.0119,0.0175,0.4264,0.4358,0.4349,0.4295,0.4057,1.6179,0.6427,1.62E-06,6.43E-07,1.62E-05,6.43E-06,0.0521,0.0207,0.0584,0.0228,0.0812,2.5174,3.103,16.638,25.008,23.363,35.49,0.329,0.329,0.67,107.692,205.409,1.907,1.195,12.182,-25.26,0.49,91.72,0.6821,171.3478,50.8675,1.878,0.4476,0.087,0.0175,0.552,0.0445,12.44018571,18.89749286,71.0122,107.8723,0.2941,0.0465,0.0092,0.0111,0.402,0.0186,0.1299,0.0855,0.5318,6.2223,0.548
e_y_35_6,elv,inoc,35,6,6/17/22,1t,6/23/22,7/2/22,8/6/22,21.95,312.369,0.104,1.521,0.104,0.547,1.284,0.246,3.702,0.191588785,0.0276,0.0594,0.027,0.0134,0.0194,0.4172,0.452,0.4456,0.4496,0.4052,2.0902,0.6409,2.09E-06,6.41E-07,2.09E-05,6.41E-06,0.0683,0.0209,0.0764,0.0231,0.0995,3.2612,3.062,22.137,25.005,16.457,25.748,0.277,0.251,0.726,73.592,143.073,1.944,1.927,9.231,-25.3,2.8,78.65,0.6839,174.3568,47.3804,1.3058,0.4399,0.0871,0.0279,0.5549,0.058,12.60296429,19.71812143,59.4116,102.5817,0.2347,0.0468,0.0106,0.0172,0.5772,0.0146,0.1112,0.0893,0.6884,7.7108,0.617
e_y_35_7,elv,inoc,35,7,6/17/22,5t,6/22/22,7/2/22,8/6/22,18.769,402.244,0.105,2.294,0.122,0.85,1.721,0.388,5.375,0.22545032,0.0354,0.0604,0.0247,0.012,0.0158,0.4292,0.458,0.4469,0.4139,0.423,3.1887,0.7133,3.19E-06,7.13E-07,3.19E-05,7.13E-06,0.1035,0.0232,0.1158,0.0255,0.1413,4.4704,3.081,22.974,24.991,17.165,28.478,0.247,0.251,0.685,87.76,163.023,1.858,3.656,10.986,-24.94,0.8,89.96,0.6673,149.3446,55.9433,1.981,0.3458,0.0655,0.0273,0.4386,0.0482,8.665021429,14.37591429,69.4939,113.4582,0.2932,0.0648,0.0135,0.0207,0.7123,0.0234,0.1777,0.1224,0.89,7.2735,0.896
e_y_35_8,elv,inoc,35,8,6/17/22,5t,6/22/22,7/2/22,8/6/22,21.148,275.226,0.118,1.488,0.137,0.549,0.993,0.3,3.467,0.302114804,0.0277,0.061,0.0273,0.0137,0.0184,0.4226,0.4628,0.4407,0.4157,0.4122,3.195,0.8843,3.20E-06,8.84E-07,3.20E-05,8.84E-06,0.1051,0.0291,0.1177,0.0321,0.1497,3.6133,3.039,25.139,25.016,18.632,27.97,0.324,0.293,0.731,80.813,153.905,1.904,1.776,9.903,-25.74,0.95,89.12,0.7043,211.951,55.7972,1.5467,0.4078,0.0791,0.036,0.523,0.0615,12.04629286,18.08367143,57.5062,95.4608,0.2222,0.0477,0.0101,0.0136,0.4128,0.0183,0.1388,0.0897,0.5516,6.1503,0.578
e_y_70_9,elv,inoc,70,9,6/17/22,4t,6/23/22,7/2/22,8/6/22,21.859,485.974,0.124,3.088,0.116,1.137,1.857,0.481,6.679,0.259019925,0.0287,0.0594,0.0228,0.0153,0.0168,0.4262,0.4551,0.4391,0.4232,0.4101,1.7007,0.8314,1.70E-06,8.31E-07,1.70E-05,8.31E-06,0.0542,0.0265,0.0607,0.0292,0.0899,2.0456,3.135,21.79,25.009,17.628,28.53,0.26,0.252,0.691,91.651,167.641,1.829,3.973,10.891,-24.68,3.11,86.04,0.6552,133.8579,56.7272,1.6258,0.44,0.082,0.0214,0.5434,0.0598,10.84265,17.54826429,67.8,113.2143,0.3007,0.0774,0.0191,0.0284,0.7858,0.0286,0.2189,0.1535,1.0047,6.546,1.113
e_y_70_10,elv,inoc,70,10,6/17/22,6b,6/22/22,7/2/22,8/6/22,20.524,230.728,0.111,1.264,0.094,0.517,1.152,0.245,3.272,0.212673611,0.0238,0.0595,0.022,0.0164,0.0152,0.4212,0.4542,0.4407,0.4127,0.4101,3.1512,0.6888,3.15E-06,6.89E-07,3.15E-05,6.89E-06,0.1029,0.0225,0.1151,0.0248,0.1399,4.5747,3.063,NA,25.012,18.412,24.623,0.405,0.393,0.779,84.042,154.735,1.841,3.715,9.367,-26.44,4.39,81.66,0.7368,294.0637,54.083,1.2856,0.5102,0.0957,NA,NA,0.0708,14.32223571,19.15361429,45.4617,62.6539,0.201,0.0327,0.0079,0.0189,0.4755,0.0146,0.1113,0.074,0.5868,7.9259,0.545
